"ID","LIMIT_BAL","MARRIAGE","EDUCATION","SEX","AGE","PAY_1","PAY_2","PAY_3","BILL_AMT1","BILL_AMT2","BILL_AMT3","PAY_AMT1","PAY_AMT2","PAY_AMT3","TARGET"
55,360000,1,1,2,35,1,0,0,-103,-103,-103,0,0,0,0
56,1e+05,1,1,2,34,0,0,0,16659,13585,7886,10000,4000,5578,0
57,360000,1,1,2,40,0,0,0,4134,2128,960,2134,982,6858,0
58,30000,1,1,2,34,0,0,0,19594,20619,21631,1346,1358,789,0
59,360000,1,1,2,37,0,0,0,4183,6469,465,6501,467,5452,0
60,210000,1,1,2,36,0,0,0,145643,133339,137000,4741,5778,1955,0
61,180000,1,1,2,34,0,0,0,64788,66092,65236,3000,2370,3000,0
62,180000,1,1,2,35,0,0,0,10790,7239,30418,7239,30418,31370,0
63,130000,3,1,2,38,0,0,0,780,0,11836,0,11836,2000,0
64,80000,1,1,2,39,1,2,0,58606,57076,58358,0,2800,2200,0
65,30000,1,1,2,37,0,0,0,10410,11431,12439,1495,1503,594,0
66,160000,1,1,2,33,1,2,0,56432,55371,56316,0,2000,3500,0
67,150000,1,1,2,37,0,0,0,26416,18915,16047,2497,16047,18776,0
68,50000,1,1,2,39,1,2,0,19454,18856,19590,0,1200,477,0
69,3e+05,1,1,2,40,0,0,0,3144,5688,2297,5734,2018,3138,0
70,190000,1,1,2,33,0,2,0,291,291,582,0,582,0,0
71,70000,1,1,2,35,2,0,0,46092,40094,39610,1700,1700,1243,0
72,240000,1,1,2,40,0,0,0,5770,10412,4578,10420,1150,5928,0
73,60000,1,1,2,37,1,0,0,0,0,0,0,0,0,0
74,60000,1,1,2,35,0,0,0,28768,29510,30389,1524,1403,1500,0
75,50000,1,1,2,39,0,0,0,45345,46403,38343,2010,2046,1866,0
76,320000,1,1,2,34,0,0,0,247276,241167,238196,10000,10000,10000,0
77,160000,1,1,2,37,0,0,0,1988,0,0,0,0,1188,0
78,260000,1,1,2,38,0,0,0,248034,241535,174423,11381,7256,2312,0
79,2e+05,1,1,2,37,0,0,0,65927,59688,53084,2700,2200,1700,0
80,50000,1,1,2,32,0,0,0,48566,48206,48659,2088,2120,1750,0
81,130000,1,1,2,37,0,0,0,790,390,99235,390,99235,4368,0
82,230000,1,1,2,38,0,0,0,8681,8681,8888,8681,8888,4932,0
83,160000,1,1,2,39,0,0,0,5536,15041,15877,15046,4055,6000,0
84,30000,1,1,2,36,1,0,0,0,0,1310,0,1310,816,0
85,240000,1,1,2,36,1,2,0,11874,5979,6938,0,6938,41877,0
86,50000,1,1,2,37,0,0,0,15735,15681,35492,1500,3100,3000,0
87,190000,1,1,2,40,0,0,0,3816,4575,5029,1100,1300,2000,0
88,150000,1,1,2,38,0,0,0,36302,33060,33988,2070,3995,3113,0
89,80000,1,1,2,37,0,0,0,65186,62938,54748,2800,2340,2009,0
90,130000,1,1,2,32,1,0,2,0,780,390,780,0,540,0
91,360000,1,1,2,37,0,0,0,40250,23022,12272,23000,12280,25007,0
92,120000,1,1,2,41,0,0,2,26490,23333,16721,3246,0,7313,0
93,190000,1,1,2,39,0,0,0,359280,362680,161193,10367,6596,4831,0
94,5e+05,1,1,2,32,0,0,0,4031,3684,7544,3709,7594,14484,0
95,170000,1,1,2,38,0,0,0,352,14540,14315,14547,1500,1542,0
96,50000,1,1,2,39,0,0,0,32570,34713,39803,3000,6000,3000,0
97,30000,1,1,2,35,0,0,0,1393,1393,1393,1393,1393,1543,0
98,50000,1,1,2,43,0,0,0,2435,0,197,0,197,2995,0
99,20000,1,1,2,41,0,0,0,17927,17384,13648,1500,1500,1400,0
100,280000,1,1,2,40,0,0,0,269,4160,3590,4166,3607,275,0
101,150000,1,1,2,39,0,0,0,6156,0,0,0,0,316,0
102,150000,1,1,2,35,0,0,0,62854,50558,52738,5000,3000,2500,0
103,3e+05,1,1,2,43,0,0,0,788,736,736,1000,736,1025,0
104,340000,1,1,2,29,0,0,0,132749,134235,128079,5290,6706,3003,0
105,180000,1,1,2,37,0,0,0,23398,14445,15404,1541,1500,4911,0
106,50000,1,1,2,38,0,0,0,48136,72898,36103,3700,5396,6,0
107,50000,1,1,2,40,0,0,0,390,918,19583,918,19583,1000,0
108,10000,1,1,2,36,0,0,0,8099,9727,5732,2000,3000,1104,0
109,150000,1,1,2,40,0,0,0,138066,140522,138722,5767,6100,30000,0
110,320000,1,1,2,40,0,0,0,25840,13260,13217,13326,13289,18064,0
111,30000,1,1,2,39,1,3,2,12271,11791,11305,0,0,1100,0
112,30000,1,1,2,43,1,2,0,39347,34702,34822,1200,1000,18000,0
113,150000,1,1,2,37,0,0,0,17723,19440,14945,2019,2020,2000,0
114,180000,1,1,2,42,1,0,0,0,4835,2220,4835,2200,11303,0
115,110000,1,1,2,32,0,0,2,112953,225099,221798,12500,0,4400,0
116,140000,1,1,2,39,0,0,0,107,232,107,232,107,107,0
117,2e+05,1,1,2,41,0,0,0,192910,199344,186878,10000,10000,6000,0
118,80000,1,1,2,40,0,0,0,1812,390,388,390,388,1191,0
119,50000,1,1,2,40,0,0,0,47838,49246,50376,2180,2310,336,0
120,160000,1,1,2,37,0,0,0,151246,155926,113767,10517,20258,20157,0
121,30000,1,1,2,37,0,0,0,28218,28704,30428,2000,3600,0,0
122,320000,1,1,2,39,0,0,0,151222,135038,108924,6500,8000,4000,0
123,60000,1,1,2,37,0,0,0,60655,60281,59968,2410,2203,1500,0
124,390000,1,1,2,38,0,0,0,6782,1466,3273,1466,3273,6965,0
125,130000,1,1,2,35,0,0,0,67260,69269,72276,4000,5000,4347,0
126,10000,1,1,2,34,1,0,0,0,0,0,0,0,0,0
127,2e+05,1,1,2,36,0,0,2,3024,11080,8736,10000,0,20000,0
128,250000,1,1,2,43,0,0,0,7351,6225,3645,3039,2000,1000,0
129,2e+05,1,1,2,38,0,0,0,194747,197031,196787,9000,7100,7100,0
130,1e+05,1,1,2,36,0,0,0,19164,23828,25138,5000,2000,2000,0
131,420000,1,1,2,34,0,0,0,3717,-2953,-2953,5,0,0,0
132,5e+05,1,1,2,36,0,0,0,74615,74399,68761,4010,6720,5000,0
133,70000,1,1,2,36,4,4,3,77021,73268,70275,0,2001,0,0
134,50000,1,1,2,35,0,0,0,50664,49163,49811,3000,2500,2000,0
135,20000,1,1,2,30,0,0,0,0,0,0,0,0,0,0
136,490000,1,1,2,42,0,0,0,128821,93626,52074,3047,2647,88595,0
137,160000,1,1,2,34,0,0,0,554,-78,622,0,700,0,0
138,390000,1,1,2,35,0,0,0,30356,32910,78686,33074,78772,1371,0
139,90000,1,1,2,41,0,0,0,101106,96216,89964,4208,4022,686,0
140,130000,1,1,2,36,0,0,0,84963,83958,84906,2980,4012,3885,0
141,380000,1,1,2,35,0,0,0,59881,61070,62350,2185,2263,2310,0
142,30000,1,1,2,39,1,2,0,20494,19867,21045,0,1500,4000,0
143,50000,1,1,2,36,0,0,0,48139,49364,50558,2299,2493,856,0
144,3e+05,1,1,2,39,0,0,0,530,25576,1561,25576,1561,2106,0
145,110000,3,1,2,42,0,0,0,316,316,632,316,632,150,0
146,190000,1,1,2,39,0,0,0,181045,184249,158883,8000,7000,4000,0
147,20000,1,1,2,34,0,0,2,18690,12289,5560,3500,1000,1000,0
148,1e+05,1,1,2,42,0,0,0,36838,37785,32905,1607,1385,971,0
149,250000,1,1,2,41,0,0,0,22839,7745,12035,7783,12046,33718,0
150,50000,1,1,2,34,0,0,0,47578,33666,16177,2000,2000,1000,0
151,50000,1,1,2,38,0,0,2,44883,47349,47475,3189,1500,101,0
152,360000,1,1,2,38,0,0,0,1090,303,0,303,0,0,0
153,240000,1,1,2,38,0,0,0,24469,11511,4670,11511,4670,17480,0
154,80000,1,1,2,44,0,0,0,23833,17815,15140,5000,5000,5000,0
155,50000,1,1,2,38,0,0,0,56672,53540,53321,2500,1066,50045,0
156,160000,1,1,2,39,1,2,2,58943,60210,60755,2800,2120,0,0
157,20000,1,1,2,38,1,2,0,20464,19322,19004,4,1640,1589,0
158,50000,1,1,2,38,0,0,0,49772,50537,49556,1778,2110,1456,0
159,80000,1,1,2,34,0,0,0,23998,17442,15948,3150,2000,6000,0
160,260000,1,1,2,38,1,0,0,0,6500,0,6500,0,0,0
161,80000,1,1,2,40,0,0,0,33490,35908,29995,5000,1318,1200,0
162,50000,1,1,2,42,0,0,0,22187,23755,21772,5000,2049,5000,0
163,60000,1,1,2,38,0,0,0,728,0,0,22,10785,0,0
164,320000,1,1,2,36,0,0,0,3337,9061,7809,9061,7935,5238,0
165,160000,1,1,2,37,0,0,0,3097,-707,-2697,0,0,5000,0
166,80000,1,1,2,34,0,0,0,1069,1460,4337,2000,4507,999,0
167,80000,1,1,2,37,0,2,0,726,726,15400,0,15400,0,0
168,20000,1,1,2,35,0,0,2,16849,18686,18877,2116,800,682,0
169,220000,1,1,2,40,0,0,0,9649,8300,1590,8300,1590,1341,0
170,120000,1,1,2,43,2,2,0,121522,120084,122250,2000,5700,2964,0
171,280000,1,1,2,37,0,0,0,-26,-26,-26,0,0,0,0
172,1e+05,1,1,2,39,0,0,0,59219,60464,61956,2197,2500,2300,0
173,240000,1,1,2,36,0,0,0,227675,181461,186160,10003,10009,10014,0
174,2e+05,1,1,2,40,0,0,0,528,13921,14943,13921,1528,500,0
175,110000,1,1,2,38,0,0,0,81700,84584,60379,5000,3000,5000,0
176,2e+05,1,1,2,39,0,0,0,8413,8611,15818,5000,8000,10000,0
177,50000,1,1,2,40,1,2,0,22446,21799,23130,0,1698,2000,0
178,360000,1,1,2,39,0,0,0,18454,16419,12932,6028,6032,99578,0
179,80000,1,1,2,38,0,0,0,4965,51932,0,51932,0,2165,0
180,2e+05,1,1,2,42,0,0,0,10742,165,1295,165,1295,0,0
181,160000,1,1,2,37,0,0,0,160,0,0,0,0,0,0
182,20000,1,1,2,39,1,2,0,17538,16975,17651,0,1400,352,0
183,130000,1,1,2,33,0,0,0,89634,90999,94519,5000,5000,5000,0
184,240000,1,1,2,35,0,0,0,188964,183744,168683,8000,6017,6900,0
185,230000,1,1,2,35,0,0,0,63370,64621,65380,2305,2515,2370,0
186,360000,1,1,2,35,0,0,0,949,40,175512,40,175539,1372,0
187,180000,1,1,2,35,0,0,0,178517,130975,135592,5000,7000,5200,0
188,250000,1,1,2,39,0,0,0,209263,199834,200957,7127,7335,8871,0
189,180000,1,1,2,35,0,0,0,68488,47603,48705,3603,5705,3003,0
190,430000,1,1,2,36,0,0,0,268537,207118,202412,10000,8000,12000,0
191,1e+05,1,1,2,43,0,0,0,1872,4490,4056,4503,4066,10900,0
192,270000,1,1,2,41,0,0,0,3291,0,0,0,0,0,0
193,20000,1,1,2,38,0,0,0,2508,3448,-202,1000,202,0,0
194,360000,1,1,2,38,0,0,0,12325,14118,38645,14123,38722,5235,0
195,550000,1,1,2,41,0,0,0,67886,67806,66328,3688,2577,2169,0
196,170000,1,1,2,37,0,0,0,23070,186183,164405,164000,7000,5215,0
197,160000,1,1,2,38,0,0,0,86179,83960,61589,4000,3000,2000,0
198,2e+05,1,1,2,36,0,0,0,196845,189104,183255,8990,7000,5500,0
199,10000,1,1,2,34,2,2,2,9415,8852,8297,1000,1000,1000,0
200,230000,1,1,2,35,1,0,0,3884,949,2864,949,2873,933,0
201,360000,1,1,2,42,0,0,0,1189,-11,-11,0,0,0,0
202,450000,3,1,2,37,1,0,0,0,0,0,0,0,0,0
203,20000,1,1,2,41,0,0,0,18356,0,0,0,0,0,0
204,20000,1,1,2,30,0,0,0,18475,18993,19973,1400,1300,700,0
205,1e+05,1,1,2,39,0,0,0,37767,34457,30036,1788,1799,1100,0
206,440000,1,1,2,31,0,0,0,14234,11061,19669,11066,19669,33152,0
207,150000,1,1,2,33,0,0,0,255207,249205,245393,6301,8000,5000,0
208,40000,1,1,2,34,0,0,0,31475,32663,33813,2000,2000,2000,0
209,60000,1,1,2,33,0,0,0,28406,28781,29219,1790,1760,1200,0
210,70000,1,1,2,34,0,0,0,54428,25085,25282,2002,1819,509,0
211,250000,1,1,2,37,0,0,0,111204,114954,116608,5600,5000,5900,0
212,80000,1,1,2,40,0,0,0,6808,8686,11628,2000,3100,1000,0
213,50000,1,1,2,43,0,0,0,4821,15898,16862,12000,1551,579,0
214,50000,1,1,2,40,0,0,0,0,0,0,0,0,0,0
215,20000,1,1,2,42,1,3,2,6249,5965,2417,0,0,0,0
216,150000,1,1,2,36,0,0,0,119613,115349,109765,5900,5019,4588,0
217,80000,1,1,2,34,0,0,0,333,333,333,333,333,333,0
218,50000,1,1,2,37,0,0,0,12236,13324,14403,1300,1300,1300,0
219,2e+05,1,1,2,39,0,0,0,5308,3959,13868,3981,13909,4106,0
220,2e+05,1,1,2,35,0,0,0,748,49007,11095,49007,11095,0,0
221,50000,1,1,2,40,0,0,0,42659,35552,31512,1500,2000,2000,0
222,70000,1,1,2,38,0,0,0,65763,38209,27874,3000,2000,955,0
223,150000,1,1,2,35,0,0,0,3267,3782,316,3782,316,5469,0
224,50000,1,1,2,37,2,2,0,16639,16041,12151,14,1505,2000,0
225,2e+05,1,1,2,37,0,0,0,92215,94085,96174,4300,4500,4438,0
226,130000,1,1,2,34,0,0,0,122199,125283,120957,5100,3085,1493,0
227,250000,1,1,2,37,0,0,0,2746,1666,3572,1666,3597,76552,0
228,360000,1,1,2,36,0,2,2,1605,1448,0,14,0,0,0
229,3e+05,1,1,2,38,0,0,0,49917,49833,49831,5000,5000,5000,0
230,460000,1,1,2,36,0,0,0,460609,427584,373370,18138,15481,10000,0
231,50000,1,1,2,38,2,0,0,49444,50621,49326,2306,2155,1086,0
232,50000,1,1,2,36,0,0,0,39429,39548,39490,1781,1770,1148,0
233,20000,1,1,2,34,0,0,0,13858,15121,16472,1500,1600,2200,0
234,420000,1,1,2,38,0,0,0,387143,24830,25419,1585,1174,1133,0
235,170000,1,1,2,43,0,0,0,17862,17927,18800,1323,1196,544,0
236,70000,1,1,2,35,0,0,0,32845,31377,31420,3100,6000,1125,0
237,90000,1,1,2,37,0,0,0,7489,5798,15112,5833,15114,0,0
238,240000,1,1,2,39,0,0,0,230979,222096,220129,7347,6830,6700,0
239,60000,1,1,2,44,1,2,2,29295,30321,31018,1800,1500,2000,0
240,160000,1,1,2,33,0,0,0,151394,153702,156778,5500,7054,6511,0
241,120000,1,1,2,37,3,3,2,12034,12548,12056,1000,0,2400,0
242,50000,1,1,2,42,0,0,0,50089,41382,36995,1798,1117,4749,0
243,210000,1,1,2,41,0,0,2,155913,165227,161427,13000,0,5666,0
244,140000,1,1,2,39,0,0,0,109326,111679,113921,5600,5600,4500,0
245,350000,1,1,2,36,1,0,0,208,2906,1000,2906,1000,630,0
246,80000,1,1,2,37,0,0,0,390,1063,390,1063,390,741,0
247,30000,1,1,2,35,0,0,0,29956,30536,30162,29000,1200,637,0
248,130000,1,1,2,32,0,0,0,31280,32582,33328,1813,1559,1541,0
249,150000,1,1,2,38,2,2,2,126115,128860,131426,6300,6100,4900,0
250,110000,1,1,2,40,0,0,0,99353,90517,78484,3500,3500,3000,0
251,90000,1,1,2,40,0,2,2,8792,7500,0,0,0,0,0
252,80000,1,1,2,39,0,0,0,76117,76660,46137,2300,2200,3207,0
253,20000,1,1,2,38,0,0,0,13639,14711,15462,1600,1300,800,0
254,220000,1,1,2,39,0,0,0,11636,11004,8392,3004,3392,4000,0
255,120000,1,1,2,39,0,0,2,942,780,390,780,0,390,0
256,120000,1,1,2,35,0,0,0,111441,113869,116110,5596,5498,5500,0
257,60000,1,1,2,34,0,0,0,0,0,0,0,0,0,0
258,110000,1,1,2,35,0,0,0,90929,92303,92114,3550,3200,2500,0
259,1e+05,1,1,2,43,0,0,0,390,390,0,390,0,780,0
260,1e+05,1,1,2,37,0,0,0,390,390,0,780,0,944,0
261,170000,1,1,2,40,0,0,0,60514,33711,21660,5011,5000,6538,0
262,90000,1,1,2,40,0,0,0,79063,64135,46678,3687,1997,1995,0
263,30000,1,1,2,36,0,0,0,30003,30470,30147,1643,1420,913,0
264,10000,1,1,2,40,0,0,0,7863,8504,8162,1172,1000,186,0
265,5e+05,1,1,2,33,0,0,0,81252,14979,26089,16527,27243,1000,0
266,180000,1,1,2,35,1,0,0,0,35300,1000,35300,1000,0,0
267,90000,1,1,2,38,0,0,0,82253,88238,83204,8238,3200,3000,0
268,270000,1,1,2,42,0,0,0,274610,274870,258759,10556,10050,8370,0
269,3e+05,1,1,2,30,0,0,0,11613,12893,10841,1513,1000,1059,0
270,10000,1,1,2,35,0,0,0,9406,9968,9385,3009,2000,2009,0
271,2e+05,1,1,2,41,0,0,0,7429,24325,40258,24325,40265,15159,0
272,80000,1,1,2,33,0,0,0,47933,39695,42372,2100,3650,0,0
273,90000,1,1,2,38,2,2,2,86014,92898,92860,8300,2400,1000,0
274,260000,1,1,2,38,0,0,0,241565,244619,127074,13000,6500,0,0
275,20000,1,1,2,34,1,2,0,19844,19238,20205,0,1302,685,0
276,80000,1,1,2,37,0,0,0,48305,48823,41495,1739,1701,1439,0
277,180000,1,1,2,37,0,0,0,119333,123150,0,6000,0,0,0
278,210000,1,1,2,34,0,0,0,203273,188955,183774,6515,7113,6011,0
279,70000,1,1,2,35,0,0,0,43462,41845,40476,3000,3000,7000,0
280,310000,1,1,2,36,1,0,0,0,0,326,0,326,0,0
281,220000,1,1,2,36,0,0,0,171182,175334,179024,7000,6500,7000,0
282,230000,1,1,2,39,0,0,0,2789,2942,2520,2942,2520,2936,0
283,80000,1,1,2,38,0,0,0,330,0,330,0,660,0,0
284,50000,1,1,2,35,0,0,0,50342,44659,40893,8025,5023,0,0
285,2e+05,1,1,2,37,0,0,0,157768,108932,110405,6000,5000,10000,0
286,80000,1,1,2,37,0,0,0,68194,24956,22145,2000,3000,18000,0
287,350000,1,1,2,43,0,0,0,257463,256706,257944,10023,7700,5162,0
288,130000,1,1,2,42,0,0,0,1439,3548,1958,3555,1010,1466,0
289,80000,1,1,2,37,0,0,0,4762,6712,1814,6734,1817,4817,0
290,50000,1,1,2,42,0,0,0,49120,50823,49844,2504,1590,701,0
291,220000,1,1,2,37,0,0,0,2500,0,0,0,0,0,0
292,4e+05,1,1,2,38,0,0,0,21012,10107,240244,5056,241366,278006,0
293,80000,1,1,2,29,0,0,0,71604,73316,75039,3500,3500,3400,0
294,90000,1,1,2,39,0,0,0,70559,51550,0,3000,0,0,0
295,5e+05,1,1,2,38,0,0,0,355251,354394,359522,12680,13464,12821,0
296,170000,1,1,2,38,0,0,0,415,415,415,415,415,415,0
297,240000,1,1,2,45,0,0,0,74270,75959,80473,3200,6100,0,0
298,120000,1,1,2,40,0,0,0,827,827,827,827,827,827,0
299,170000,1,1,2,37,0,0,0,177956,176155,171665,7262,5586,2272,0
300,150000,1,1,2,34,0,0,0,32428,32136,28151,2000,1650,1500,0
301,1e+05,1,1,2,41,1,0,2,0,203,203,203,0,0,0
302,20000,1,1,2,33,0,0,0,19382,20040,17850,1318,1499,1099,0
303,50000,1,1,2,38,2,2,2,50974,51688,50024,3000,0,800,0
304,130000,1,1,2,35,0,0,0,32236,41510,-1523,10000,0,0,0
305,420000,1,1,2,37,0,0,0,204984,209929,190689,8006,7000,6000,0
306,190000,1,1,2,41,0,0,0,97136,98767,101452,4418,5452,5471,0
307,30000,1,1,2,34,0,0,0,3055,18392,640,18407,640,0,0
308,360000,1,1,2,32,0,0,0,5344,9852,5137,9860,8537,4912,0
309,460000,1,1,2,38,2,0,0,7121,7953,8642,1273,1288,1123,0
310,50000,1,1,2,42,0,0,0,46351,20055,18725,1377,1165,522,0
311,2e+05,1,1,2,35,1,0,0,0,0,0,0,0,0,0
312,250000,1,1,2,44,0,0,0,1181,1545,2319,1545,1000,1500,0
313,170000,1,1,2,40,0,0,0,0,0,0,0,0,0,0
314,20000,1,1,2,34,0,0,0,9269,10585,11608,1477,1500,1000,0
315,120000,1,1,2,34,0,0,0,20157,19295,13531,2000,1500,1500,0
316,20000,1,1,2,36,0,0,0,8936,9700,0,1000,0,0,0
317,150000,1,1,2,32,0,0,0,28416,37392,44547,10000,10008,10012,0
318,230000,1,1,2,34,0,0,0,4827,5605,7719,2000,3050,5000,0
319,290000,1,1,2,41,0,0,0,33765,2682,470,2682,470,119685,0
320,80000,1,1,2,37,0,0,0,76118,78451,55339,4196,3569,26022,0
321,90000,1,1,2,41,1,0,0,0,1191,-21,1191,0,2151,0
322,3e+05,1,1,2,42,0,0,0,0,0,0,0,0,0,0
323,3e+05,1,1,2,38,0,0,0,9582,6803,7198,1818,7217,7023,0
324,50000,1,1,2,39,0,0,0,25254,26366,510,2000,510,16121,0
325,1e+05,1,1,2,36,1,2,2,97002,102698,97997,8200,0,8000,0
326,260000,1,1,2,40,0,0,0,251267,254332,257628,12021,11710,7503,0
327,230000,1,1,2,36,0,0,0,0,0,0,0,0,0,0
328,150000,1,1,2,37,1,2,2,125938,132110,142876,9734,14500,0,0
329,80000,1,1,2,39,0,0,0,65088,65200,61969,3000,4000,3000,0
330,220000,1,1,2,37,0,0,0,4624,2874,1210,2888,1216,640,0
331,360000,1,1,2,39,0,0,0,23411,27796,30400,4796,3400,3100,0
332,140000,1,1,2,41,0,0,0,66526,65667,67571,3990,4000,2000,0
333,150000,1,1,2,38,1,0,0,0,0,0,0,0,0,0
334,140000,1,1,2,34,0,0,0,330,330,330,330,330,330,0
335,120000,1,1,2,38,1,2,2,116344,111960,115804,0,6781,0,0
336,140000,1,1,2,41,0,0,0,132629,135901,138858,5406,5700,3600,0
337,110000,1,1,2,39,0,0,0,105080,107420,107325,5540,5361,4500,0
338,2e+05,1,1,2,34,0,0,0,972,-1,-1,0,0,300,0
339,140000,1,1,2,31,1,0,0,0,7933,7283,7933,2000,2000,0
340,140000,1,1,2,41,1,0,0,-53,-53,1117,0,1170,0,0
341,50000,1,1,2,42,0,0,0,39859,38781,26823,1501,2003,1420,0
342,90000,1,1,2,34,0,0,0,47585,48575,49922,1782,2129,2497,0
343,50000,1,1,2,31,0,0,0,49385,49527,29550,1500,1467,1201,0
344,30000,1,1,2,42,0,0,0,26725,28289,29489,2000,2000,1502,0
345,180000,1,1,2,38,0,0,0,166569,144637,137261,6000,6382,5000,0
346,2e+05,1,1,2,34,0,0,0,3659,1710,5033,1718,5069,1130,0
347,190000,1,1,2,37,0,0,0,141693,143464,146943,5618,5795,7408,0
348,2e+05,1,1,2,43,0,0,0,75811,77554,79418,4001,3501,3501,0
349,170000,1,1,2,41,0,0,0,77795,66420,83733,5000,20000,8000,0
350,5e+05,1,1,2,35,0,0,0,42081,46495,39489,16495,15720,12421,0
351,140000,1,1,2,43,0,0,0,135206,135316,134943,5082,5008,5000,0
352,240000,1,1,2,35,0,0,0,209848,214477,218142,10000,9000,7000,0
353,350000,1,1,2,41,0,0,0,3860,648,11094,648,11198,4057,0
354,260000,1,1,2,41,0,0,0,0,0,0,0,0,0,0
355,150000,1,1,2,36,0,0,0,69627,49082,50170,5000,3000,3000,0
356,330000,1,1,2,34,1,0,0,-317,-2066,-3283,569,817,6976,0
357,110000,1,1,2,34,1,0,0,-1256,65064,66102,68500,3114,4016,0
358,250000,1,1,2,42,0,0,0,1962,82,82,82,82,82,0
359,30000,1,1,2,37,0,0,0,1596,0,0,0,0,0,0
360,20000,1,1,2,40,0,0,0,15196,16373,17590,1428,1500,800,0
361,2e+05,1,1,2,43,0,0,0,354304,303188,153179,8000,5600,5600,0
